29,20719,2,05
29,00547,3,05
29,00556,5,05
29,17269,5,05
29,00577,7,05
29,00550,10,05
50,12206,2,05
50,20719,4,05
50,00556,5,05
50,00553,6,05
50,00557,6,05
50,06198,8,05
50,00577,12,05
50,17269,12,05
50,00597,12,05
78,00591,2,05
78,00556,5,05
78,00547,5,05
78,20719,5,05
78,20358,5,05
78,00568,5,05
78,00577,7,05
78,00550,8,05
78,00597,10,05
78,17269,12,05
78,00600,12,05
92,03567,1,05
92,20358,5,05
92,14269,6,05
92,00556,6,05
92,00550,8,05
92,00577,9,05
92,06198,10,05
106,00568,3,05
106,00556,4,05
106,00557,5,05
106,00597,6,05
106,03077,6,05
106,04048,6,05
106,00591,6,05
106,20719,6,05
106,00600,9,05
106,17269,9,05
106,00577,11,05
106,00550,11,05
120,20358,2,05
120,03567,3,05
120,00547,4,05
120,17269,5,05
120,20719,5,05
120,14269,6,05
120,00556,6,05
120,00591,6,05
120,00553,6,05
120,00568,7,05
120,00577,7,05
120,00600,11,05
120,00597,11,05
127,03567,3,05
127,00556,4,05
127,20358,5,05
127,06198,6,05
127,00577,7,05
127,12206,7,05
127,00550,11,05
127,17269,12,05
134,20719,4,05
134,00553,6,05
134,20358,7,05
134,00557,7,05
134,00577,7,05
134,00556,7,05
134,00547,7,05
134,00600,11,05
134,00597,12,05
134,06198,13,05
156,03567,4,05
156,00553,6,05
156,00597,6,05
156,00568,6,05
156,17269,7,05
156,05740,7,05
156,00577,7,05
156,00556,7,05
156,20719,8,05
183,00547,6,05
183,12206,6,05
183,00591,6,05
183,20719,8,05
183,00597,12,05
183,00577,12,05
183,06198,12,05
183,00550,12,05
183,17269,12,05
183,00600,13,05
