50,06569,2,18
50,06567,2,18
50,11611,4,18
50,11635,6,18
50,22419,8,18
78,11862,1,18
78,23563,1,18
78,10661,2,18
78,00829,4,18
78,06567,5,18
78,00842,8,18
78,11611,11,18
78,06569,12,18
78,11635,13,18
114,16903,3,18
114,11415,4,18
114,06567,4,18
114,09855,4,18
114,00829,5,18
114,22259,6,18
114,11862,9,18
114,10661,10,18
114,06569,11,18
114,11611,13,18
134,00829,6,18
134,06569,6,18
134,11415,7,18
134,23563,8,18
134,06567,8,18
134,10661,10,18
134,22419,11,18
134,11611,12,18
134,11635,13,18
163,11862,6,18
163,06569,12,18
163,22419,13,18
163,10661,13,18
